epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,5926.05,1.43861,0.89026,1.2324,0.86786,0.65943,0.75212,0.45566,1.19315,0.73753,1.12829,0.000148687,0.000148687,0.000148687
183,5955.62,1.40058,0.89803,1.2696,0.88603,0.67027,0.75092,0.46058,1.20812,0.73647,1.1334,0.000141614,0.000141614,0.000141614
184,5985.51,1.3783,0.86884,1.24453,0.87141,0.66017,0.74576,0.46004,1.19482,0.73259,1.12642,0.00013454,0.00013454,0.00013454
185,6015.14,1.3726,0.87043,1.24035,0.87738,0.66289,0.74891,0.45732,1.1893,0.7281,1.12466,0.000127467,0.000127467,0.000127467
186,6043.86,1.38889,0.87227,1.2426,0.86063,0.66291,0.74852,0.45506,1.19863,0.72645,1.12846,0.000120393,0.000120393,0.000120393
187,6072.7,1.34607,0.85092,1.23898,0.87196,0.67551,0.74946,0.45962,1.19594,0.72535,1.12695,0.00011332,0.00011332,0.00011332
188,6101.53,1.38331,0.86316,1.24883,0.87982,0.69008,0.75859,0.46314,1.17552,0.72217,1.11907,0.000106246,0.000106246,0.000106246
189,6132.68,1.39894,0.87892,1.2306,0.87278,0.68416,0.75727,0.46294,1.17181,0.72069,1.11751,9.91726e-05,9.91726e-05,9.91726e-05
190,6163.22,1.37437,0.88173,1.24593,0.87294,0.68488,0.75283,0.46161,1.18136,0.72359,1.12088,9.20991e-05,9.20991e-05,9.20991e-05
191,6193.45,1.33496,0.95017,1.27117,0.84711,0.67529,0.74188,0.45461,1.18238,0.7247,1.11792,8.50255e-05,8.50255e-05,8.50255e-05
192,6224.08,1.31628,0.96113,1.23219,0.86084,0.66032,0.73429,0.44672,1.19282,0.73125,1.11909,7.7952e-05,7.7952e-05,7.7952e-05
193,6254.04,1.36007,0.96556,1.23395,0.83689,0.66922,0.73182,0.4439,1.20442,0.73886,1.12232,7.08784e-05,7.08784e-05,7.08784e-05
194,6284.22,1.33942,0.90624,1.2557,0.85702,0.65025,0.72757,0.43662,1.21918,0.75498,1.12574,6.38049e-05,6.38049e-05,6.38049e-05
195,6314.33,1.32076,0.89903,1.24944,0.86452,0.64842,0.72631,0.43682,1.2151,0.76345,1.12271,5.67313e-05,5.67313e-05,5.67313e-05
196,6344.46,1.34931,0.91066,1.24792,0.8572,0.64998,0.72255,0.43744,1.21009,0.76206,1.11974,4.96578e-05,4.96578e-05,4.96578e-05
197,6374.36,1.28487,0.86077,1.22375,0.8632,0.64938,0.72297,0.4393,1.20892,0.76016,1.11886,4.25842e-05,4.25842e-05,4.25842e-05
198,6404.05,1.30166,0.86167,1.21783,0.8679,0.65378,0.72216,0.44164,1.20847,0.75381,1.11849,3.55107e-05,3.55107e-05,3.55107e-05
199,6433.5,1.27477,0.8464,1.23024,0.87517,0.65444,0.71995,0.44169,1.20824,0.74482,1.11838,2.84371e-05,2.84371e-05,2.84371e-05
200,6463.22,1.32105,0.86592,1.22469,0.87137,0.64818,0.72629,0.44786,1.20594,0.73993,1.11731,2.13636e-05,2.13636e-05,2.13636e-05
